activity_id,lap_order,average_cadence,average_heart_rate,average_speed,distance,elevation_gain,max_cadence,max_elevation,min_elevation,max_heart_rate,min_heart_rate,max_speed,moving_time,start_timestamp,total_time,wkt_step_index,processing_time
activity1,0,177,143.5,2.772,2000,9,190,64.39999999999998,60.200000000000045,155,136,3.088,721401,1707150113000,721401,0,2024-11-01
activity1,1,188,150,3.515,200,0,192,41.60000000000002,40.60000000000002,161,144,3.592,56904,1707150835000,56904,1,2024-11-01
activity1,2,178,157,2.744,200,0,190,41,38,163,150,3.434,72899,1707150892000,72899,2,2024-11-01
activity1,3,186,151,3.303,200,0,192,38.200000000000045,36.60000000000002,158,149,3.368,60543,1707150965000,60543,1,2024-11-01
activity1,4,178,157,2.701,200,1,190,38.200000000000045,37.200000000000045,161,153,3.415,74047,1707151025000,74047,2,2024-11-01
activity1,5,188,157,3.456,200,1,194,39.39999999999998,37.60000000000002,162,151,3.508,57867,1707151099000,57867,1,2024-11-01
activity1,6,140,140,2.029,200,0,188,39.799999999999955,38.200000000000045,162,125,3.34,98593,1707151157000,133516,2,2024-11-01
activity1,7,186,143,3.54,200,0,200,39.60000000000002,38.39999999999998,157,123,4.068,56497,1707151291000,56497,1,2024-11-01
activity1,8,160,147,2.442,200,1,188,39.799999999999955,38,158,141,3.359,81886,1707151347000,89037,2,2024-11-01
activity1,9,158,144,2.782,200,0,192,38.39999999999998,37.60000000000002,154,120,3.35,71880,1707151436000,121825,1,2024-11-01
activity1,10,166,131,2.66,200,2,188,39.799999999999955,37.799999999999955,144,117,3.032,75183,1707151558000,75183,2,2024-11-01
activity1,11,156,150,3.145,200,2,200,42.39999999999998,39.39999999999998,160,143,3.798,63586,1707151633000,63586,1,2024-11-01
activity1,12,156,152,2.54,200,1,186,43.60000000000002,42.39999999999998,160,149,2.846,78749,1707151697000,78749,2,2024-11-01
activity1,13,190,154,3.502,200,0,198,44,42.60000000000002,160,150,3.546,57108,1707151775000,57108,1,2024-11-01
activity1,14,180,160,2.549,200,5,188,48.60000000000002,43.799999999999955,162,158,3.527,78462,1707151833000,78462,2,2024-11-01
activity1,15,180,158,3.11,200,4,210,52,48.60000000000002,163,154,3.751,64307,1707151911000,64307,1,2024-11-01
activity1,16,164,159,2.439,200,2,194,54.60000000000002,51,165,155,3.387,81998,1707151975000,81998,2,2024-11-01
activity1,17,104,123,1.248,258.82,6,178,61.39999999999998,53.60000000000002,156,110,2.613,207432,1707152057000,207432,4,2024-11-01
activity2,0,,,2.5853555122364877,1000,,,44,0,,,22.509577646121603,386794,1723368932948,386794,,2024-11-01
activity2,1,,,2.7653108347643816,1000,,,44,0,,,22.509577646121603,361623,1723369320168,361623,,2024-11-01
activity2,2,,,2.299389741962483,1000,,,44,0,,,22.509577646121603,434898,1723369683717,434898,,2024-11-01
activity2,3,,,2.801057679379734,1000,,,44,0,,,22.509577646121603,357008,1723370120440,357008,,2024-11-01
activity2,4,,,2.782028098483795,1000,,,44,0,,,22.509577646121603,359450,1723370480077,425488,,2024-11-01
activity2,5,,,3.0875197530606218,23.19653590474445,,,44,0,,,22.509577646121603,7513,1723370908564,18122,,2024-11-01
